datetime,AtPressure,CO2,Current,Humidity,Infrared,Luminance,Temperature,UV,Volt,Power
2020/3/31 17:00,1005.75,408.475433,None,47.5068359,7048,7096,None,None,12.6285456,118.275862
2020/3/31 18:00,None,None,-14.611111,None,None,None,None,None,12.6190109,187.333333
2020/4/1 12:00,1008.46997,419.59877,117,47.0610352,81940,79519,32.1000004,6.48500013,12.5633332,1480
2020/4/1 14:00,1006.45793,416.816927,123.849057,46.7324555,48422.4138,46620.5517,31.797931,3.7989655,12.5879246,1557.35849
2020/4/1 15:00,1006.40341,417.81227,112.073446,45.4353082,37417.4444,33876.1667,31.9553331,2.76056181,12.5716382,1408.47458
2020/4/1 16:00,1006.83753,414.033279,58.6089744,46.5644531,15671.8,14102.7875,30.3395001,1.14449999,12.5255772,732.564103
2020/4/1 17:00,1007.43517,424.831909,8.51020408,49.9401507,3204.21429,2987.82143,28.0746429,0.24035714,12.4895916,157.55102
2020/4/1 18:00,1008.10938,434.885356,-14.134454,52.1166915,257.412698,433.790323,26.4861291,0.02967742,12.4720168,178.319328
2020/4/6 17:00,1008.56273,433.390098,None,65.185103,129.363636,355.545455,22.0472728,0.02181818,None,None
2020/4/6 18:00,1008.60631,434.299528,-10.69697,65.9653577,77.3157895,314.105263,21.9457892,0.01842105,11.4696969,133.939394
2020/4/7 12:00,1008.31691,418.262371,None,48.5190796,103073.25,107693.049,28.811111,8.78666665,None,None
2020/4/7 13:00,1007.53555,418.083386,None,45.8149233,89863.1875,94312.425,29.6358751,7.67506332,None,None
2020/4/7 14:00,1006.78003,416.584808,None,44.6650391,81426,84892,30.0400009,6.94999981,None,None
2020/4/7 15:00,1006.62875,416.412946,113.103448,46.8858997,36220.5484,38849.129,28.7625806,3.17967741,11.4984483,1303.7931
2020/4/7 16:00,1006.63281,410.476752,95.5059524,48.6712457,26754.6889,28277.7865,27.6632584,2.30191011,11.424759,1093.09524
2020/4/7 17:00,1007.07128,411.941843,61.1418919,51.0692859,11412.8205,10395.2208,26.1445455,0.84155844,11.2380406,686.216216
2020/4/7 18:00,1007.53998,422.206192,-1.6666667,54.3574219,1251,1517,24.3400002,0.12,10.9433333,60
2020/4/8 14:00,1007.58286,424.737162,None,40.7809311,52516.5208,53158.0417,31.2716666,4.33166671,None,None
2020/4/8 15:00,1007.69253,418.671026,None,44.9224223,32949.5714,32812.8901,29.4146667,2.67922222,None,None
2020/4/8 16:00,1008.00747,417.761404,120.426357,48.7209874,20592.4487,20242.359,28.1616455,1.6556962,11.7554261,1414.10853
2020/4/8 17:00,1008.25421,419.669022,85.6527778,50.1282895,12405.2632,11741,27.4768421,0.94945945,11.7395829,1000.27778
2020/4/9 13:00,1009.19568,404.748713,179.846154,36.5815089,84527.4651,86585.0698,32.8561905,7.07071433,11.8737663,2136.62338
