,觀測時間,溫度(°C),溫度(°F),天氣,風向,風力 (m/s)|(級),陣風 (m/s)|(級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,11/20 15:00,21.1,70.0,-,東南,0.5 | 1,-,-,65,-,0.0,-
1,11/20 14:00,21.8,71.2,-,東南東,0.6 | 1,6.7 | 4,-,63,-,0.0,-
2,11/20 13:00,22.1,71.8,-,東,0.8 | 1,6.4 | 4,-,61,-,0.0,-
3,11/20 12:00,22.6,72.7,-,東,0.3 | 1,6.7 | 4,-,61,-,0.0,-
4,11/20 11:00,22.1,71.8,-,東南東,0.4 | 1,-,-,62,-,0.0,-
5,11/20 10:00,21.8,71.2,-,東南,0.5 | 1,5.9 | 4,-,62,-,0.0,-
6,11/20 09:00,20.4,68.7,-,南南東,0.3 | 1,-,-,66,-,0.0,-
7,11/20 08:00,18.7,65.7,-,東南,0.4 | 1,-,-,73,-,0.0,-
8,11/20 07:00,17.8,64.0,-,東南東,0.4 | 1,-,-,75,-,0.0,-
9,11/20 06:00,17.5,63.5,-,靜風,0.2 | 0,-,-,76,-,0.0,-
10,11/20 05:00,17.6,63.7,-,靜風,0.2 | 0,5.6 | 4,-,76,-,0.0,-
11,11/20 04:00,17.6,63.7,-,東南東,0.4 | 1,-,-,75,-,0.0,-
12,11/20 03:00,17.4,63.3,-,東南東,0.4 | 1,-,-,78,-,0.0,-
13,11/20 02:00,17.3,63.1,-,靜風,0.2 | 0,-,-,78,-,0.0,-
14,11/20 01:00,17.0,62.6,-,靜風,0.0 | 0,5.4 | 3,-,81,-,0.0,-
15,11/20 00:00,17.2,63.0,-,靜風,0.2 | 0,5.5 | 4,-,79,-,0.0,-
16,11/19 23:00,17.5,63.5,-,靜風,0.2 | 0,5.5 | 4,-,78,-,0.0,-
17,11/19 22:00,17.7,63.9,-,東南東,0.3 | 1,5.6 | 4,-,75,-,0.0,-
18,11/19 21:00,17.7,63.9,-,東南東,0.3 | 1,5.4 | 3,-,73,-,0.0,-
19,11/19 20:00,17.9,64.2,-,東南東,0.5 | 1,6.7 | 4,-,71,-,0.0,-
20,11/19 19:00,17.6,63.7,-,靜風,0.0 | 0,6.3 | 4,-,75,-,0.0,-
21,11/19 18:00,17.5,63.5,-,東南,0.4 | 1,-,-,74,-,0.0,-
22,11/19 17:00,17.4,63.3,-,東北東,0.4 | 1,8.3 | 5,-,75,-,0.0,-
23,11/19 16:00,17.7,63.9,-,東,0.5 | 1,7.2 | 4,-,74,-,0.0,-
24,11/19 15:00,18.0,64.4,-,東南東,0.5 | 1,6.1 | 4,-,72,-,0.0,-
